num,dep,arr
1133,BXP,WXC
1134,WXC,BXP
1147,UKH,BJY
1148,BJY,UKH
1149,BJY,UKH
1150,UKH,BJY
1227,FXD,SHH
1228,SHH,FXD
1229,SHH,FXD
1230,FXD,SHH
1303,BXP,ZZF
1304,ZZF,BXP
1461,BJP,SHH
1462,SHH,BJP
1551,TYV,UKH
1552,UKH,TYV
1553,UKH,TYV
1554,TYV,UKH
1817,WWT,NDC
1818,NDC,WWT
1819,NDC,WWT
1820,WWT,NDC
2051,DLT,MDB
2052,MDB,DLT
2061,DLT,JGX
2062,JGX,DLT
2065,CDP,SYT
2066,SYT,CDP
2067,SYT,CDP
2068,CDP,SYT
2083,DLT,HRX
2084,HRX,DLT
2095,TYV,XAY
2096,XAY,TYV
2123,QHX,DUT
2124,DUT,QHX
2125,DUT,QHX
2126,QHX,DUT
2149,RZK,ZZF
2150,ZZF,RZK
2151,ZZF,RZK
2152,RZK,ZZF
2209,DLT,HJB
2210,HJB,DLT
2255,DUT,BJP
2256,BJP,DUT
2257,BJP,DUT
2258,DUT,BJP
2461,LFV,BTC
2462,BTC,LFV
2463,BTC,LFV
2464,LFV,BTC
2549,BJP,AST
2550,AST,BJP
2589,BJP,LYL
2590,LYL,BJP
2591,LYL,BJP
2592,BJP,LYL
2601,SUV,QTP
2602,QTP,DTV
2603,QTP,DTV
2604,SUV,QTP
2621,VBP,CID
2622,CID,VBP
2623,DLT,MLX
2624,MLX,DLT
2635,HHC,LAJ
2636,LAJ,HHC
2667,SYT,JGX
2668,JGX,SYT
2673,TYV,JCF
2674,JCF,TYV
2701,HHC,YIJ
2702,YIJ,HHC
2727,DLT,SFB
2728,SFB,DLT
4043,NAB,MSB
4044,MSB,NAB
4057,JGX,TXX
4059,JGX,TXX
4060,TXX,JGX
4081,QHX,BAB
4082,BAB,QHX
4083,QHX,HJB
4084,HJB,QHX
4085,TLX,QHX
4086,QHX,TLX
4087,QHX,FYX
4088,FYX,QHX
4095,TLX,QHX
4133,JMB,QEB
4134,QEB,JMB
4135,JMB,QEB
4136,QEB,JMB
4167,HRX,MRX
4168,MRX,MLX
4169,MRX,MLX
4170,HRX,MRX
4171,MDB,HGB
4172,HGB,DJB
4173,MDB,JMB
4174,JMB,MDB
4179,ARX,HRX
4180,HRX,ARX
4181,HRX,MHX
4182,MHX,HRX
4183,MHX,HRX
4184,HRX,MHX
